pmid,n_sentences,ner,warning,syntactic,numerical,umls,n_detectors_firing
28141914,7,True,True,True,False,True,4
28238808,14,True,True,True,False,True,4
28275126,11,True,False,True,True,True,4
28285070,8,True,False,True,True,True,4
28324139,3,True,False,True,False,True,3
28346013,5,True,True,True,False,True,4
28367454,9,True,False,True,False,True,3
28401263,17,True,False,True,True,True,4
28441964,14,True,False,True,False,True,3
28480041,8,True,True,True,False,True,4
28619476,18,True,True,True,True,True,5
28631809,21,True,True,True,True,True,5
28634907,12,True,True,True,True,True,5
28639373,6,True,False,True,False,False,2
28639707,19,True,True,True,True,True,5
2866055,11,True,False,True,True,True,4
28671437,8,True,False,True,False,False,2
28676198,8,True,True,True,True,True,5
28723796,11,True,True,True,True,True,5
2874976,11,True,True,True,True,True,5
28756540,10,True,False,True,True,True,4
28806047,11,True,False,True,True,True,4
28828685,13,True,False,True,True,True,4
28870302,6,True,True,True,False,True,4
28901118,14,True,False,True,True,True,4
28922287,4,True,False,True,True,True,4
28951787,9,True,False,True,False,False,2
29018999,15,True,False,True,True,True,4
29022654,6,True,False,True,False,True,3
29025198,30,True,True,True,True,True,5
29025426,3,True,False,False,False,True,2
29030173,12,True,True,True,True,True,5
29040558,9,True,False,True,False,True,3
29106787,18,True,False,True,True,True,4
29184745,6,True,False,True,True,False,3
29204208,8,True,False,True,False,False,2
29205277,13,True,False,False,True,True,3
29218312,5,True,False,True,False,True,3
29244647,6,True,False,False,False,True,2
29261855,14,True,False,True,False,True,3
29262047,17,True,False,True,True,True,4
29295637,11,True,False,True,True,False,3
29329171,9,True,False,True,True,False,3
29344508,5,True,True,True,False,True,4
29360984,8,True,False,True,False,False,2
29371246,8,True,False,True,True,True,4
29381251,11,True,False,True,True,True,4
29404656,7,True,True,True,False,True,4
29490937,10,True,True,True,False,True,4
29532516,8,True,True,True,True,True,5
29548061,18,True,False,True,True,True,4
29555644,13,True,False,True,True,True,4
29641806,16,True,False,True,True,True,4
29671676,7,True,False,True,True,True,4
29763070,7,True,False,False,False,False,1
29795977,12,True,True,True,True,True,5
29857264,11,True,False,True,False,True,3
29908406,17,True,True,True,True,True,5
29939600,9,True,False,True,False,False,2
29946735,14,True,True,True,True,True,5
29996156,10,True,False,True,False,False,2
30003357,9,True,True,True,True,True,5
30066029,10,True,False,True,True,True,4
30068251,12,True,False,True,False,True,3
30086256,10,True,False,True,True,True,4
30116896,12,True,False,True,True,True,4
30168894,6,True,False,True,False,True,3
30216683,7,True,False,True,True,False,3
30237473,8,True,False,True,False,False,2
30252257,15,False,False,True,False,True,2
30259503,14,True,False,True,True,True,4
30281207,13,False,False,True,True,False,2
30290604,9,True,True,True,True,True,5
30328699,12,True,False,True,True,True,4
30335626,10,True,False,True,True,True,4
30372582,9,True,False,True,True,True,4
30422492,8,True,False,True,False,False,2
30454775,3,True,False,True,False,False,2
30464397,10,True,True,True,True,True,5
30518052,10,True,False,True,True,True,4
30524565,13,True,False,True,True,True,4
30562208,8,True,True,True,False,True,4
30570999,7,True,False,True,False,True,3
30573009,12,True,False,True,False,True,3
30591350,5,True,False,True,False,True,3
3068693,11,True,False,True,False,True,3
30691372,5,True,True,True,False,False,3
30760828,9,True,False,True,True,False,3
30767645,6,True,False,True,False,True,3
30781516,8,True,False,True,True,True,4
30791698,10,True,False,True,False,True,3
31011455,10,True,False,True,True,False,3
31030706,13,True,False,True,True,True,4
31039689,14,True,False,True,True,True,4
31071734,10,True,False,True,True,True,4
31082167,9,True,False,True,True,True,4
31098348,6,True,False,True,False,False,2
31151228,9,True,False,True,True,True,4
31161145,14,True,False,True,True,True,4
31178367,13,True,True,True,True,True,5
31195771,5,True,True,True,False,True,4
31211392,9,True,False,True,True,True,4
31227226,7,True,False,True,False,True,3
31237193,9,True,False,True,True,False,3
31239388,9,True,False,True,False,False,2
31241491,12,True,False,True,True,True,4
31268919,9,True,True,True,False,True,4
31322815,10,True,False,True,False,True,3
31352132,12,True,True,True,False,True,4
31364419,5,True,False,True,False,True,3
31378335,4,True,False,True,False,True,3
31420757,10,True,True,True,False,True,4
31427131,11,True,False,False,True,True,3
3146300,12,True,True,False,False,True,3
31482863,8,True,True,False,True,True,4
31626989,12,True,False,True,True,True,4
31627352,10,True,False,True,False,True,3
31665995,8,True,False,True,True,False,3
31688325,8,True,False,True,False,True,3
31696455,7,True,False,True,False,False,2
31728379,16,True,False,False,False,True,2
31765958,6,True,False,True,False,False,2
31880872,4,True,True,True,False,True,4
31882509,13,True,True,True,True,True,5
31932513,9,True,True,True,True,True,5
31957218,7,True,False,True,True,True,4
31976835,12,True,True,True,True,True,5
31984304,7,True,False,True,True,True,4
31985942,12,True,True,True,False,True,4
32001830,9,True,True,True,False,True,4
32032478,12,True,False,True,True,True,4
32073132,13,True,False,True,False,True,3
32100225,23,True,False,False,True,True,3
32149389,13,True,True,True,True,True,5
32270976,7,True,False,True,False,True,3
32278343,11,True,False,True,True,True,4
32279716,5,True,False,True,False,True,3
32309576,5,True,True,True,False,False,3
32328842,6,True,False,True,False,True,3
32340216,7,True,False,True,False,True,3
32365314,14,True,False,True,False,True,3
32374887,10,True,True,True,False,True,4
32377769,10,True,False,True,True,True,4
32383152,11,True,True,True,False,True,4
32431556,8,True,False,True,False,True,3
32447424,13,True,True,True,True,True,5
32459404,14,True,False,True,True,True,4
32471251,11,True,False,True,False,False,2
32518860,4,True,True,True,True,True,5
32527541,8,True,False,True,True,True,4
32537643,10,True,True,True,True,True,5
32628600,11,True,False,True,False,False,2
32632575,8,True,True,True,True,True,5
32651292,14,True,False,True,True,True,4
32654164,9,True,True,True,False,True,4
32659844,14,True,True,False,False,True,3
32668217,10,True,False,True,True,True,4
32673289,8,True,True,True,False,True,4
32675145,8,True,False,True,True,True,4
32686966,9,True,True,True,True,True,5
32710141,10,True,True,True,False,True,4
32718895,20,True,True,False,True,True,4
32721557,7,True,False,True,False,False,2
32740045,8,True,False,True,False,True,3
32766111,7,True,False,True,True,False,3
32772141,11,True,False,True,False,True,3
32773454,5,True,False,True,False,True,3
32775988,9,True,True,True,False,True,4
32780893,8,True,True,True,True,True,5
32784601,9,True,False,True,True,True,4
32791919,12,True,False,True,True,True,4
32804544,6,True,True,True,False,True,4
32830901,13,True,False,True,True,True,4
32837716,9,True,False,True,True,True,4
32844196,16,True,False,True,True,True,4
32869880,4,True,True,True,True,True,5
32872374,9,True,False,True,False,True,3
32899820,10,True,True,True,True,True,5
32911778,12,True,True,True,False,True,4
32918059,12,True,False,True,False,True,3
32935536,9,True,False,True,False,True,3
32951732,11,True,False,True,False,True,3
32956536,3,True,False,True,False,True,3
32991793,3,True,False,True,False,True,3
33022987,15,True,False,True,True,True,4
33033779,18,True,True,True,True,True,5
33064426,10,True,True,True,False,True,4
33072979,8,True,False,True,False,True,3
33080005,17,True,False,True,True,True,4
33092041,9,True,False,True,False,True,3
33092611,11,True,False,True,True,True,4
33099901,11,True,False,True,False,True,3
33118231,12,True,False,True,True,True,4
33135932,5,True,True,True,True,True,5
33141610,8,True,True,True,True,True,5
33160639,10,True,True,True,False,True,4
33165964,13,True,False,True,True,True,4
33172445,10,True,True,True,True,True,5
33185371,11,True,True,True,False,True,4
33204789,15,True,False,True,True,True,4
33216016,5,True,False,True,False,True,3
33232783,2,True,False,True,False,True,3
33272198,7,True,False,True,True,False,3
33301246,13,True,True,True,True,True,5
33336616,7,True,False,True,False,False,2
33378609,14,True,True,True,True,True,5
33404081,8,True,False,True,True,True,4
33444297,15,True,True,True,True,True,5
33448766,15,True,True,False,False,True,3
33449568,5,True,False,True,True,True,4
33507892,13,True,True,True,True,True,5
33515658,18,True,False,True,True,True,4
33536341,9,True,False,True,False,True,3
33549515,9,True,False,True,True,True,4
33629336,18,True,True,True,True,True,5
33651569,21,True,True,True,True,True,5
33657772,10,True,False,True,True,True,4
33709165,18,True,False,True,True,True,4
33714971,16,True,False,True,False,True,3
33722257,10,True,False,True,True,True,4
33728858,12,True,False,True,True,True,4
33773413,9,False,False,True,True,True,3
33820833,13,True,False,True,True,True,4
33826787,8,True,False,True,False,True,3
33851778,10,True,True,True,True,True,5
33853065,11,True,False,True,True,True,4
33941768,9,True,False,True,True,True,4
33958571,13,True,False,True,True,True,4
33983916,11,True,False,True,True,True,4
34017006,8,True,False,True,True,True,4
34125728,12,True,True,True,False,True,4
34135856,13,True,False,True,True,True,4
34155062,11,True,False,True,False,True,3
34186459,14,True,True,True,True,True,5
34213743,13,True,False,True,True,True,4
34232932,4,True,True,True,False,True,4
34233724,9,True,True,True,True,True,5
34258332,16,True,True,True,True,True,5
